abbrev,power,state_raw,state
NH,5.6,New Hampshire,NEW HAMPSHIRE
NV,4.9,Nevada,NEVADA
NM,4.7,New Mexico,NEW MEXICO
MI,3.1,Michigan,MICHIGAN
CO,3.1,Colorado,COLORADO
AK,3.1,Alaska,ALASKA
PA,2.7,Pennsylvania,PENNSYLVANIA
NC,2.7,North Carolina,NORTH CAROLINA
FL,2.5,Florida,FLORIDA
VA,2.3,Virginia,VIRGINIA
NE2,1.9,Nebraska 2nd District,
WI,1.7,Wisconsin,WISCONSIN
AZ,1.6,Arizona,ARIZONA
ME2,1.5,Maine 2nd District,
MN,1.5,Minnesota,MINNESOTA
OH,1.4,Ohio,OHIO
DE,1.2,Delaware,DELAWARE
ME,1.2,Maine - statewide,MAINE
IA,1.0,Iowa,IOWA
RI,0.9,Rhode Island,RHODE ISLAND
ME1,0.6,Maine 1st District,
GA,0.6,Georgia,GEORGIA
OR,0.6,Oregon,OREGON
NE1,0.6,Nebraska 1st District,
SD,0.6,South Dakota,SOUTH DAKOTA
CT,0.5,Connecticut,CONNECTICUT
SC,0.5,South Carolina,SOUTH CAROLINA
MT,0.3,Montana,MONTANA
NJ,0.3,New Jersey,NEW JERSEY
WA,0.2,Washington,WASHINGTON
UT,0.2,Utah,UTAH
HI,0.1,Hawaii,HAWAII
IL,0.0,Illinois,ILLINOIS
VT,0.0,Vermont,VERMONT
NE3,0.0,Nebraska 3rd District,
MO,0.0,Missouri,MISSOURI
LA,0.0,Louisiana,LOUISIANA
MD,0.0,Maryland,MARYLAND
WY,0.0,Wyoming,WYOMING
TX,0.0,Texas,TEXAS
KS,0.0,Kansas,KANSAS
IN,0.0,Indiana,INDIANA
TN,0.0,Tennessee,TENNESSEE
MS,0.0,Mississippi,MISSISSIPPI
KY,0.0,Kentucky,KENTUCKY
NY,0.0,New York,NEW YORK
NE,0.0,Nebraska - statewide,NEBRASKA
AR,0.0,Arkansas,ARKANSAS
ID,0.0,Idaho,IDAHO
AL,0.0,Alabama,ALABAMA
CA,0.0,California,CALIFORNIA
MA,0.0,Massachusetts,MASSACHUSETTS
ND,0.0,North Dakota,NORTH DAKOTA
OK,0.0,Oklahoma,OKLAHOMA
WV,0.0,West Virginia,WEST VIRGINIA
DC,0.0,District of Columbia,DISTRICT OF COLUMBIA
